"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeModelMedicationRecord","BeModelMedicationRecord","","","",0,*,"","","","","Medication Record logical model","A model for a structure collection of a patient's medication history.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelMedicationRecord.identifier","BeModelMedicationRecord.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","The business identifier(s) for the Medication Record","The business identifier(s) for the Medication Record","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecord.identifier",0,1,"",""
"BeModelMedicationRecord.patient","BeModelMedicationRecord.patient","","","",1,1,"","","","Reference {[]} {[]}
","The subject of the medication record","The subject of the medication record","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecord.patient",1,1,"",""
"BeModelMedicationRecord.treatments","BeModelMedicationRecord.treatments","","","",0,*,"","","","http://hl7belgium.org/fhir/riziv-medicationrecord/StructureDefinition/BeModelMedicationRecordTreatment {[]} {[]}
","The treaments that are included in this record","The treaments that are included in this record","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecord.treatments",0,*,"",""
"BeModelMedicationRecord.treatmentLines","BeModelMedicationRecord.treatmentLines","","","",0,*,"","","","http://hl7belgium.org/fhir/riziv-medicationrecord/StructureDefinition/BeModelMedicationRecordTreatmentLine {[]} {[]}
","The treatment lines that are included in this record","The treatment lines that are included in this record","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecord.treatmentLines",0,*,"",""
"BeModelMedicationRecord.summaryView","BeModelMedicationRecord.summaryView","","","",0,*,"","","","http://hl7belgium.org/fhir/riziv-medicationrecord/StructureDefinition/BeModelMedicationRecordSummaryView {[]} {[]}
","The summary views that are produced from this record or entered into it","The summary views that are produced from this record or entered into it","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecord.summaryView",0,*,"",""
"BeModelMedicationRecord.detailedRecords","BeModelMedicationRecord.detailedRecords","","","",0,*,"","","","BackboneElement {[]} {[]}
","Detailed records","Detailed records - the most granular interactions","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecord.detailedRecords",0,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"BeModelMedicationRecord.detailedRecords.id","BeModelMedicationRecord.detailedRecords.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"BeModelMedicationRecord.detailedRecords.extension","BeModelMedicationRecord.detailedRecords.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"BeModelMedicationRecord.detailedRecords.modifierExtension","BeModelMedicationRecord.detailedRecords.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/2021Mar/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
