"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeModelMedicationRecordTreatmentLine","BeModelMedicationRecordTreatmentLine","","","",0,*,"","","","","Medication Record Treatment Line - logical model","A model for representing a Treatment Line.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelMedicationRecordTreatmentLine.identifier","BeModelMedicationRecordTreatmentLine.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","The business identifier(s) for the medication treatment Line","The business identifier(s) for the medication treatment Line","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordTreatmentLine.identifier",0,1,"",""
"BeModelMedicationRecordTreatmentLine.basedOn","BeModelMedicationRecordTreatmentLine.basedOn","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7belgium.org/fhir/riziv-medicationrecord/StructureDefinition/BeModelMedicationRecordTreatment]]}
","The identifier of the treatment from which this line stems","The identifier of the treatment from which this line stems","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordTreatmentLine.basedOn",0,1,"",""
"BeModelMedicationRecordTreatmentLine.subject","BeModelMedicationRecordTreatmentLine.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","For whom this treatment line was created","For whom this treatment line was created","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordTreatmentLine.subject",1,1,"",""
"BeModelMedicationRecordTreatmentLine.recorder","BeModelMedicationRecordTreatmentLine.recorder","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Who created this treatment line","Who created this treatment line","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordTreatmentLine.recorder",1,1,"",""
"BeModelMedicationRecordTreatmentLine.recordDate","BeModelMedicationRecordTreatmentLine.recordDate","","","",1,1,"","","","dateTime {[]} {[]}
","Datetime that the treatment line was created or updated","Datetime that the treatment line was created or updated","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordTreatmentLine.recordDate",1,1,"",""
"BeModelMedicationRecordTreatmentLine.startMedicationDate","BeModelMedicationRecordTreatmentLine.startMedicationDate","","","",1,1,"","","","dateTime {[]} {[]}
","Start date of the medication","Start date of the medication","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordTreatmentLine.startMedicationDate",1,1,"",""
"BeModelMedicationRecordTreatmentLine.endMedicationDate","BeModelMedicationRecordTreatmentLine.endMedicationDate","","","",0,1,"","","","dateTime {[]} {[]}
","End date, if exists, for stopping the medication","End date, if exists, for stopping the medication","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordTreatmentLine.endMedicationDate",0,1,"",""
"BeModelMedicationRecordTreatmentLine.originType","BeModelMedicationRecordTreatmentLine.originType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","From what context this treatment line stems","From what context this treatment line stems, whether is ambulatory prescription, patient request, etc","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordTreatmentLine.originType",1,1,"",""
"BeModelMedicationRecordTreatmentLine.reaction","BeModelMedicationRecordTreatmentLine.reaction","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reaction to this treatment line","Reaction to this treatment line","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordTreatmentLine.reaction",0,*,"",""
