"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeMedicationDispense","BeMedicationDispense","","","",0,*,"","","","","An individual record of a medication dispense","This is the logical model for the Dispense Record entry - the information that can be captured upon the act of dispensing - in a hospital pharmacy, or a community pharmacy. This is not for a future dispense, rather a record of an actual dispense.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","","n/a"
"BeMedicationDispense.id","BeMedicationDispense.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"BeMedicationDispense.extension","BeMedicationDispense.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"BeMedicationDispense.identifier","BeMedicationDispense.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","The business identifier(s) for the medication dispense session","The business identifier(s) for the medication dispense session, also known as Session GUID (SGUID).","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.identifier",0,1,"",""
"BeMedicationDispense.patient","BeMedicationDispense.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient]]}
","The person for which the medication is dispensed.","The person for which the medication is dispensed.","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.patient",1,1,"",""
"BeMedicationDispense.dispenser","BeMedicationDispense.dispenser","","","",0,1,"","","","BackboneElement {[]} {[]}
","The dispenser, if known and relevant",".","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.dispenser",0,1,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"BeMedicationDispense.dispenser.id","BeMedicationDispense.dispenser.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"BeMedicationDispense.dispenser.extension","BeMedicationDispense.dispenser.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"BeMedicationDispense.dispenser.modifierExtension","BeMedicationDispense.dispenser.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/2021Mar/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"BeMedicationDispense.dispenser.person","BeMedicationDispense.dispenser.person","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-practitioner]]}
","Reference to person that performed the recording or reporting","Who was responsible for asserting the observed value as ""true"". (Reference)","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.dispenser.person",1,1,"",""
"BeMedicationDispense.dispenser.organization","BeMedicationDispense.dispenser.organization","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-organization]]}
","Reference to person that performed the recording or reporting","Who was responsible for asserting the observed value as ""true"". (Reference)","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.dispenser.organization",1,1,"",""
"BeMedicationDispense.dispenseDate","BeMedicationDispense.dispenseDate","","","",1,1,"","","","dateTime {[]} {[]}
","The date when the dispense ocurred","The date (or date-time) when the dispense ocurred","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.dispenseDate",1,1,"",""
"BeMedicationDispense.prescription","BeMedicationDispense.prescription","","","",0,1,"","","","BackboneElement {[]} {[]}
","The information about a prescription related to the dispense",".","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.prescription",0,1,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"BeMedicationDispense.prescription.id","BeMedicationDispense.prescription.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"BeMedicationDispense.prescription.extension","BeMedicationDispense.prescription.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"BeMedicationDispense.prescription.modifierExtension","BeMedicationDispense.prescription.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/2021Mar/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"BeMedicationDispense.prescription.isPrescribed","BeMedicationDispense.prescription.isPrescribed","","","",0,1,"","","","boolean {[]} {[]}
","Whether this dispense was performed against a prescription",".","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.prescription.isPrescribed",0,1,"",""
"BeMedicationDispense.prescription.prescription","BeMedicationDispense.prescription.prescription","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The prescription identification",".","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.prescription.prescription",0,1,"",""
"BeMedicationDispense.identifier","BeMedicationDispense.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","The business identifier(s) for the medication dispense","The business identifier(s) for the medication dispense. The DGUID is the current identifier.","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.identifier",0,1,"",""
"BeMedicationDispense.dispensedItem","BeMedicationDispense.dispensedItem","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Each product that was dispensed",".","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.dispensedItem",0,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"BeMedicationDispense.dispensedItem.id","BeMedicationDispense.dispensedItem.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"BeMedicationDispense.dispensedItem.extension","BeMedicationDispense.dispensedItem.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"BeMedicationDispense.dispensedItem.coding","BeMedicationDispense.dispensedItem.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","union(., ./translation)"
"BeMedicationDispense.dispensedItem.text","BeMedicationDispense.dispensedItem.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./originalText[mediaType/code=""text/plain""]/data"
"BeMedicationDispense.dispensedItem.product","BeMedicationDispense.dispensedItem.product","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The product that was dispensed - coded or not (e.g. for magistral preparations)",".","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.dispensedItem.product",0,1,"",""
"BeMedicationDispense.dispensedItem.quantityDispensed","BeMedicationDispense.dispensedItem.quantityDispensed","","","",0,1,"","","","Quantity {[]} {[]}
","The amound of product that was dispensed",".","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.dispensedItem.quantityDispensed",0,1,"",""
"BeMedicationDispense.dispensedItem.dosageInstructions","BeMedicationDispense.dispensedItem.dosageInstructions","","","",0,1,"","","","Dosage {[]} {[]}
","The instructions for use",".","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.dispensedItem.dosageInstructions",0,1,"",""
"BeMedicationDispense.dispensedItem.note","BeMedicationDispense.dispensedItem.note","","","",0,*,"","","","Annotation {[]} {[]}
","Additional information about the dispensed item","Additional information about the dispense - this can be relevant history, any remarks by the patient or professional, etc.","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.dispensedItem.note",0,*,"",""
"BeMedicationDispense.note","BeMedicationDispense.note","","","",0,*,"","","","Annotation {[]} {[]}
","Additional information about the dispense","Additional information about the dispense - this can be relevant history, any remarks by the patient or professional, etc.","","","","","","","","","",,,,,"",,,,"BeMedicationDispense.note",0,*,"",""
