Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.medicationscheme.json	11069	-	0	0	1	0	0	0	7	78	0	0	0	0	0	0	0	1	0	0	123	127	0	0	0	4	0	0
fsh-generated/resources/ValueSet-BEVSMedicationLineConsent.json	463	9	1	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	6	7074	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-communitypharmacy-1med.json	2962	18	0	0	0	0	0	0	1	205	0	0	0	0	0	0	0	0	0	0	19	24	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-unknown.json	767	9	0	0	0	0	0	14	0	33	0	0	0	0	0	0	0	0	0	0	27	513	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DT.json	688	9	0	0	0	0	0	15	0	14	0	0	0	0	0	0	0	0	0	0	28	224	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BEMedicationLineConsent.json	638	9	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	8	77	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-product-package-type.json	585	8	0	0	0	0	16	0	0	7	978	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BEVSMMedicationLineStatus.json	484	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	68	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-prescription-ids.json	570	9	0	0	0	0	7	0	0	5	31	0	0	0	0	0	0	0	0	0	7	11	0	0	0	1	0	1
fsh-generated/resources/ValueSet-BEVSMMedicationLineDayPeriod.json	565	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	5	476	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-be-model-medication-dispense.json	8056	15	0	0	0	0	0	69	0	75	0	0	0	0	0	0	0	0	0	0	165	719	0	0	0	4	0	0
fsh-generated/resources/ValueSet-BEVSMedicationProductType.json	463	2	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	6	48	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KMEHRMS.json	167016	248	0	0	0	0	0	1397	0	1401	0	0	1	0	0	0	0	5	0	0	3504	9521	0	0	0	73	0	3
fsh-generated/resources/CodeSystem-BEMedicationLineStatus.json	1309	3	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ExtDosageTime.json	1471	4	0	0	0	0	0	27	0	19	0	0	0	0	0	0	0	0	0	0	41	156	0	0	0	1	0	0
fsh-generated/resources/MedicationDispense-example-minimal-dispense.json	761	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-VIDISMedicationSchema.json	22238	28	0	0	0	0	0	129	0	113	0	0	0	0	0	0	0	1	0	0	331	679	0	1	0	8	0	1
fsh-generated/resources/StructureDefinition-class.json	762	3	0	0	0	0	0	23	0	12	0	0	0	0	0	0	0	0	0	0	31	94	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-TS.json	701	2	0	0	0	0	0	17	0	11	0	0	0	0	0	0	0	0	0	0	24	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-be-medicationdispense.json	9656	15	0	0	0	0	0	340	0	335	0	0	0	0	0	0	0	1	0	0	661	2193	0	0	0	18	0	1
fsh-generated/resources/ValueSet-BEVSMedicationLineOriginType.json	488	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	5	68	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-dispenser-types.json	913	2	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	9	93	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BEMedicationAdministrationRoute.json	388	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	57	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BEMedicationLineDayPeriod.json	885	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	40	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BEMedicationLine.json	6967	14	0	0	0	0	0	202	0	177	0	0	0	0	0	0	0	1	0	0	449	2019	0	0	0	13	1	0
fsh-generated/resources/StructureDefinition-CD.json	713	2	0	0	0	0	0	18	0	11	0	0	0	0	0	0	0	0	0	0	24	69	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BEMedicationProductType.json	1603	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	11	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BEMedicationLineOriginType.json	963	4	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	7	27	0	0	0	1	0	0
fsh-generated/resources/MedicationDispense-medication-dispense-example-2.json	3200	6	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
